ratio 1,ratio 2,key,in_g_vs_s,p_value_g_vs_s,statistic_g_vs_s,in_h_vs_s,p_value_h_vs_s,statistic_h_vs_s,in_h_vs_g,p_value_h_vs_g,statistic_h_vs_g,presence_count
si_mn,nd_y,si_mn||nd_y,True,2.278012870426468e-14,0.0952532171229052,False,,,True,1.177906998969608e-43,0.0560450443113761,2
nd_y,cr_sc,nd_y||cr_sc,True,2.7039428191718673e-14,0.0942299057343097,False,,,True,2.0369075177865847e-41,0.0523851490931904,2
nd_y,cr_si,nd_y||cr_si,True,3.808698525183823e-14,0.0943950486582176,False,,,True,4.0077238181034e-43,0.0558147700457843,2
nd_y,si_v,nd_y||si_v,True,4.002183736539234e-14,0.0937753762968799,False,,,True,4.4300541224782856e-39,0.0493542107345444,2
sc_mn,nd_y,sc_mn||nd_y,True,5.131333028085249e-14,0.0926411027858976,False,,,True,7.512893409355703e-40,0.050167480376291,2
nd_y,si_ni,nd_y||si_ni,True,1.327223095877742e-13,0.0900704602465962,False,,,True,2.150462936379734e-40,0.0516828209649784,2
y_mn,nd_y,y_mn||nd_y,True,1.6659378632470157e-13,0.0918155439888621,False,,,True,5.180674140664263e-41,0.0563670137432576,2
ti_mn,nd_y,ti_mn||nd_y,True,2.30227617013508e-13,0.0871854257136639,False,,,True,4.2263984445132433e-42,0.0533473649805264,2
cr_ca,nd_y,cr_ca||nd_y,True,2.3308864048581504e-13,0.0878284656743239,False,,,True,4.125864331375021e-40,0.051090872025263,2
cr_ti,nd_y,cr_ti||nd_y,True,2.503199839820702e-13,0.0884446489952507,False,,,True,5.607287997858409e-42,0.054412039930899,2
nd_y,co_si,nd_y||co_si,True,2.7444528150454576e-13,0.0866509533770652,False,,,True,1.2015472790867351e-39,0.0501725446544069,2
mn_ca,nd_y,mn_ca||nd_y,True,3.104196878137279e-13,0.0864470884310148,False,,,True,8.669193675880489e-40,0.0501577713162416,2
si_cu,nd_y,si_cu||nd_y,True,3.1818951567705553e-13,0.08742378843242,False,,,True,3.124490473394631e-38,0.0492438871709962,2
nd_y,cr_y,nd_y||cr_y,True,4.74466595939385e-13,0.0872564659955099,False,,,True,4.586524313883728e-42,0.0575730138168558,2
na_mn,nd_y,na_mn||nd_y,True,5.77443213208791e-13,0.0863715313518849,False,,,True,1.0128771651988408e-51,0.0716380288373407,2
v_ca,nd_y,v_ca||nd_y,True,6.214837645067399e-13,0.0851880694332884,True,0.0005078341291005,0.0180792995219862,True,1.9189148272425115e-38,0.0491092819536412,3
nd_y,sc_ni,nd_y||sc_ni,True,7.142473268169888e-13,0.0839728470502747,False,,,True,1.0146636779615718e-38,0.0495587878093554,2
sc_ti,nd_y,sc_ti||nd_y,True,9.742494639461277e-13,0.0832302164035451,False,,,True,6.408525630408091e-40,0.0510278299910291,2
ni_mn,nd_y,ni_mn||nd_y,True,1.0010703241767956e-12,0.0830788970090866,False,,,True,2.102876374822729e-42,0.054150388077877,2
si_ti,nd_y,si_ti||nd_y,True,1.1272152235511033e-12,0.082952283027368,False,,,True,1.0222886199985655e-40,0.0522413454528626,2
ti_ca,nd_y,ti_ca||nd_y,True,1.1495801872680333e-12,0.0830098829478948,False,,,True,7.929759321288476e-40,0.0510286992694985,2
v_ti,nd_y,v_ti||nd_y,True,1.1897673933680496e-12,0.0824312959375548,False,,,True,1.7763476761853838e-39,0.0501260340928255,2
nd_y,cr_ni,nd_y||cr_ni,True,1.231465166150269e-12,0.0830903692843584,False,,,True,4.7522700204335765e-42,0.0543804605098486,2
nd_y,cr_k,nd_y||cr_k,True,1.2349930705484574e-12,0.0824106732304314,False,,,True,1.2758969660926503e-38,0.0485783369234748,2
y_mn,sc_nd,y_mn||sc_nd,True,1.4525587583137677e-12,0.0793106961587797,False,,,True,1.919017767254177e-28,0.0331383108890045,2
v_y,nd_y,v_y||nd_y,True,1.456664325236459e-12,0.0850655251768189,False,,,True,4.719195110300896e-36,0.0478201050270045,2
zn_mn,nd_y,zn_mn||nd_y,True,1.4710371239208953e-12,0.0851250412669598,False,,,True,3.824092457731535e-37,0.0479984853808801,2
nd_y,co_sc,nd_y||co_sc,True,1.5040998228062234e-12,0.0822369385002225,False,,,True,3.4821629089146504e-39,0.0500790885180804,2
ni_ti,nd_y,ni_ti||nd_y,True,1.5652327403515837e-12,0.0825469390206153,False,,,True,3.228439319914643e-40,0.0519196059726647,2
co_ti,nd_y,co_ti||nd_y,True,1.732557235799656e-12,0.08166846745109,False,,,True,3.2676215905238518e-40,0.0514623618924694,2
nd_y,cr_na,nd_y||cr_na,True,1.737749961168841e-12,0.0832010566132128,False,,,True,1.0394133973301565e-51,0.0719664019461841,2
nd_y,co_ni,nd_y||co_ni,True,1.7881889782272396e-12,0.0817424589228151,False,,,True,4.982334714935007e-41,0.0528642759363335,2
nd_y,v_ni,nd_y||v_ni,True,1.7959877333184774e-12,0.0817212256123642,False,,,True,4.5821385347809885e-40,0.0511913007604317,2
nd_y,co_cr,nd_y||co_cr,True,1.8974931292232243e-12,0.0812216015381267,False,,,True,2.4553488012570693e-42,0.0544299104946068,2
co_mn,nd_y,co_mn||nd_y,True,1.926390128755412e-12,0.080579728095977,False,,,True,9.101429549647733e-43,0.0544351252637885,2
nd_y,sc_v,nd_y||sc_v,True,1.945409867017332e-12,0.0832750291071249,True,0.0004785496517462,0.0187165065565052,True,3.048258319851427e-36,0.0473654526017609,3
nd_y,si_nd,nd_y||si_nd,True,1.9790708016161744e-12,0.1119651182785981,False,,,True,1.1715066097501084e-37,0.0631184814716565,2
y_mn,si_nd,y_mn||si_nd,True,2.042473467541973e-12,0.0874130478754379,False,,,True,2.1565601504837875e-34,0.0452278938228883,2
ni_ca,nd_y,ni_ca||nd_y,True,2.1550428291738505e-12,0.0806855967590164,False,,,True,4.64964061138573e-39,0.0497103602661702,2
si_mn,sc_nd,si_mn||sc_nd,True,2.1757580776105377e-12,0.0746768257045751,False,,,True,3.626805502971877e-25,0.0263400128817739,2
cr_mn,nd_y,cr_mn||nd_y,True,2.298812262745118e-12,0.0802730519761118,False,,,True,2.503782732451805e-40,0.0513440116604929,2
k_mn,nd_y,k_mn||nd_y,True,2.350562173746549e-12,0.0814997061028169,False,,,True,2.293196984282461e-37,0.0473925828782235,2
ni_y,nd_y,ni_y||nd_y,True,2.3655475078618254e-12,0.0812282311780293,False,,,True,1.8583205551761502e-38,0.0503748040098596,2
co_ca,nd_y,co_ca||nd_y,True,2.4199742566487746e-12,0.080364627422834,False,,,True,1.0555237698889832e-39,0.0505080338313276,2
nd_y,sc_nd,nd_y||sc_nd,True,2.428670028512991e-12,0.1013901446184866,False,,,True,6.889656470464074e-36,0.0543549389936465,2
cr_y,sc_nd,cr_y||sc_nd,True,2.4646426280565998e-12,0.0748286658028227,False,,,True,2.2021199040244307e-30,0.0338217844323251,2
sc_ca,nd_y,sc_ca||nd_y,True,2.5373244937419826e-12,0.0797497027089715,False,,,True,5.60305057397173e-39,0.0492394871093518,2
nd_y,na_v,nd_y||na_v,True,2.93286445165072e-12,0.0814836550248724,False,,,True,5.190655348520314e-42,0.0553587588200817,2
co_cu,nd_y,co_cu||nd_y,True,3.0328956186758044e-12,0.0799234621948154,False,,,True,3.787561612295188e-39,0.0506696216809682,2
v_cu,nd_y,v_cu||nd_y,True,3.104408272135374e-12,0.0819066743402381,False,,,True,1.3890922329479986e-38,0.0498970932305033,2
ni_cu,nd_y,ni_cu||nd_y,True,3.497631581481404e-12,0.0798971097810313,False,,,True,3.7003569528650135e-40,0.0518161115920923,2
nd_y,co_v,nd_y||co_v,True,3.5204851823937746e-12,0.0789991483942638,False,,,True,1.0309891545767409e-39,0.0503013911479703,2
ti_cu,nd_y,ti_cu||nd_y,True,3.6696788654314775e-12,0.0802869583400007,False,,,True,3.18627184620544e-39,0.0521942961081768,2
nd_y,co_y,nd_y||co_y,True,3.838641091487148e-12,0.0799240398468905,False,,,True,2.00677251336365e-36,0.0481904930981764,2
sc_nd,cr_si,sc_nd||cr_si,True,3.936882012534901e-12,0.0727980125762117,False,,,False,,,1
nd_y,cr_zn,nd_y||cr_zn,True,4.112503035858098e-12,0.081620743552993,False,,,True,4.363838024462447e-37,0.0476338718632614,2
cr_y,si_nd,cr_y||si_nd,True,4.301161157355347e-12,0.0827180404194868,False,,,True,2.5709490238942306e-35,0.0450399856646366,2
si_ca,nd_y,si_ca||nd_y,True,4.751634796074375e-12,0.0782736942611507,False,,,True,5.765506882072974e-41,0.0524975886455711,2
cr_cu,nd_y,cr_cu||nd_y,True,4.794011776207196e-12,0.0802791474779492,False,,,True,2.0578096482023848e-41,0.0564241693767776,2
nd_y,na_ni,nd_y||na_ni,True,6.174913659070579e-12,0.0781601969111859,False,,,True,1.7904360286240205e-45,0.0599701135883827,2
mn_cu,nd_y,mn_cu||nd_y,True,6.428107023955668e-12,0.0783237999343745,False,,,True,5.230410158456633e-43,0.0579822763445775,2
nd_y,cr_v,nd_y||cr_v,True,6.428879638843336e-12,0.0774227350581329,False,,,True,1.0436597778024235e-40,0.0524067103449426,2
nd_y,sc_k,nd_y||sc_k,True,6.782119216508712e-12,0.0765715228203885,False,,,True,3.3808270648649997e-38,0.0481033559780041,2
si_nd,cr_sc,si_nd||cr_sc,True,7.686482644227215e-12,0.080635728300852,False,,,True,1.6292075007989835e-27,0.033178918163867,2
nd_y,co_na,nd_y||co_na,True,7.88471075794618e-12,0.0774336880106332,False,,,True,1.202382702599524e-42,0.0560727091147461,2
sc_mn,si_nd,sc_mn||si_nd,True,8.471502972798029e-12,0.0809640340490189,False,,,True,8.406216117615786e-27,0.0325277533900726,2
v_mn,nd_y,v_mn||nd_y,True,8.588925263886998e-12,0.0763152521504784,False,,,True,5.664711160305804e-41,0.0524337617654315,2
nd_y,sc_si,nd_y||sc_si,True,9.713091835534462e-12,0.0768970096680595,False,,,True,6.877821969070882e-39,0.0502747608709031,2
na_cu,nd_y,na_cu||nd_y,True,1.0626201778646053e-11,0.076253862406535,False,,,True,5.952621501306723e-40,0.051165575289198,2
y_ti,nd_y,y_ti||nd_y,True,1.0994162912104208e-11,0.0764924949164518,False,,,True,1.050400689433213e-38,0.0516043595015654,2
ca_cu,nd_y,ca_cu||nd_y,True,1.1432589511008995e-11,0.0779251036110006,False,,,True,8.417230448470856e-38,0.0516096844217451,2
y_cu,nd_y,y_cu||nd_y,True,1.1512166465783618e-11,0.078392845662028,False,,,True,1.029720459739766e-33,0.044637465991279,2
si_mn,si_nd,si_mn||si_nd,True,1.173805679481552e-11,0.0797726452443897,False,,,True,3.0626104327544153e-30,0.0375342757064805,2
na_ti,nd_y,na_ti||nd_y,True,1.2866540435079746e-11,0.0761820722790246,False,,,True,1.0749409396326017e-45,0.0619227285374761,2
v_y,si_nd,v_y||si_nd,True,1.2870240787755526e-11,0.0808323671636571,False,,,True,8.938060652421694e-27,0.0336980632086656,2
nd_y,si_na,nd_y||si_na,True,1.3683977847237799e-11,0.0756175602619584,False,,,True,1.4836728218367824e-40,0.0530397575542022,2
k_ca,nd_y,k_ca||nd_y,True,1.4079554311206511e-11,0.0746242480507156,False,,,True,1.2453883211001806e-37,0.0474323651897462,2
k_ti,nd_y,k_ti||nd_y,True,1.4413907004300716e-11,0.0748018073277735,False,,,True,7.744589966570583e-38,0.0478752912230104,2
si_v,cr_si,si_v||cr_si,True,1.6291470533836927e-11,0.0412930019772328,True,3.061131747459574e-05,0.0153830419136306,False,,,2
na_ca,nd_y,na_ca||nd_y,True,1.897674492975972e-11,0.0754134274951078,False,,,True,2.893232235730223e-46,0.0642474018574151,2
si_nd,cr_si,si_nd||cr_si,True,2.1506080063251358e-11,0.0792623087109751,False,,,True,2.7187015921126605e-29,0.0368399077930287,2
si_mn,si_v,si_mn||si_v,True,2.3305825862618463e-11,0.0426269752306197,True,6.853207965510676e-05,0.0149167750545111,False,,,2
sc_cu,nd_y,sc_cu||nd_y,True,2.334930422480985e-11,0.0784036458797969,False,,,True,1.0511848910027074e-36,0.050676317697115,2
nd_ca,nd_y,nd_ca||nd_y,True,2.354289246439151e-11,0.0970784149782303,False,,,True,5.697110221018465e-33,0.0515823502005414,2
nd_y,k_ni,nd_y||k_ni,True,2.936244523643329e-11,0.0737273097138193,False,,,True,5.58186584301562e-36,0.0466482244171761,2
si_v,si_nd,si_v||si_nd,True,2.962485200714894e-11,0.0768211123990317,False,,,True,8.567538273326726e-26,0.0311678326087029,2
si_v,sc_nd,si_v||sc_nd,True,3.1478758896664616e-11,0.0664270255928174,True,8.163697274913305e-05,0.0196076671327406,False,,,2
ni_y,si_nd,ni_y||si_nd,True,3.4201567570423804e-11,0.0751744452164101,False,,,True,9.436052612293777e-30,0.0368410799663442,2
na_y,nd_y,na_y||nd_y,True,3.4459028616796715e-11,0.0737363051730583,False,,,True,2.5882125661726304e-35,0.0463040741342833,2
ba_y,nd_y,ba_y||nd_y,True,3.519121214479112e-11,0.0771857937636444,False,,,True,2.919374306304259e-34,0.0464701171893687,2
nd_y,sc_zn,nd_y||sc_zn,True,3.889966012482559e-11,0.0737629117642498,False,,,True,5.738599744931694e-36,0.0461591725500582,2
si_mn,cr_y,si_mn||cr_y,True,4.137692337734133e-11,0.049837511091809,False,,,True,3.769395051309083e-27,0.0252392487568174,2
nd_y,zn_ni,nd_y||zn_ni,True,4.1790011076390445e-11,0.0729400983730675,False,,,True,2.7234444090689737e-35,0.0451508672052769,2
nd_y,nd_na,nd_y||nd_na,True,4.276416774452533e-11,0.1029073516477904,False,,,True,1.5681665567791844e-42,0.0805461283006545,2
zn_ti,nd_y,zn_ti||nd_y,True,4.3320316425328684e-11,0.0727838765848958,False,,,True,4.1801388820001866e-36,0.0459480427157671,2
nd_y,si_y,nd_y||si_y,True,4.5800353112656277e-11,0.0713529352117079,False,,,True,8.042430451809431e-37,0.0479034306593558,2
y_mn,si_v,y_mn||si_v,True,4.580733114694388e-11,0.053100791694799,False,,,False,,,1
y_mn,cr_si,y_mn||cr_si,True,4.710382335496935e-11,0.0533312230022348,False,,,True,4.263517547790263e-25,0.024674796885961,2
nd_y,co_k,nd_y||co_k,True,4.726023519800739e-11,0.0730709453121167,False,,,True,2.4123125390152936e-36,0.0475160044632558,2
nd_ti,nd_y,nd_ti||nd_y,True,4.828637846275517e-11,0.0923715811021517,False,,,True,1.2097687258007418e-35,0.0559509540834652,2
v_y,sc_nd,v_y||sc_nd,True,4.966778037065509e-11,0.0669235433187484,False,,,False,,,1
na_mn,si_nd,na_mn||si_nd,True,5.362754350303594e-11,0.0748445347194782,False,,,True,2.1229572568452608e-42,0.0562423672074891,2
mn_ca,si_nd,mn_ca||si_nd,True,5.3675702973107315e-11,0.0738487688415659,False,,,True,1.0339609814422314e-26,0.0321664414618973,2
nd_y,co_zn,nd_y||co_zn,True,5.832119862701661e-11,0.0728286667035706,False,,,True,1.1218292937301402e-34,0.0448940368647033,2
ti_mn,si_nd,ti_mn||si_nd,True,5.990762587749901e-11,0.0734967576507421,False,,,True,1.3191519252074212e-28,0.0346654425860952,2
cr_y,si_v,cr_y||si_v,True,6.009595261001474e-11,0.0463995252239881,False,,,False,,,1
y_ca,nd_y,y_ca||nd_y,True,6.112679575373625e-11,0.0720869793589288,False,,,True,3.623641676344034e-38,0.0518592726864917,2
nd_y,sc_na,nd_y||sc_na,True,6.117846848897926e-11,0.0735839573039098,True,0.0004299624828442,0.0202893576264437,True,2.231464221556673e-44,0.0628739174321862,3
na_mn,sc_nd,na_mn||sc_nd,True,7.254079469965521e-11,0.0651584568102094,False,,,True,4.3574305477774015e-38,0.0445379096276998,2
cr_ti,si_nd,cr_ti||si_nd,True,8.372853213932964e-11,0.0737393231386045,False,,,True,4.398994656426618e-28,0.0345485567857869,2
nd_y,nd_ni,nd_y||nd_ni,True,8.381349346339715e-11,0.0902830431002907,False,,,True,2.928461192370709e-35,0.057069604906481,2
sc_nd,co_si,sc_nd||co_si,True,8.567796166073506e-11,0.0624654242766438,True,0.0005151852213666,0.0148516611611297,False,,,2
si_ni,sc_nd,si_ni||sc_nd,True,8.595347021179369e-11,0.0631916043960038,False,,,False,,,1
nd_y,sc_y,nd_y||sc_y,True,8.663740153013759e-11,0.0725976232312683,False,,,True,6.924942397410802e-38,0.0524601838127329,2
ni_y,sc_nd,ni_y||sc_nd,True,8.990708855390506e-11,0.0629616929022054,False,,,False,,,1
cr_ca,si_nd,cr_ca||si_nd,True,9.078932523746958e-11,0.0729944430533688,False,,,True,1.6179983390878447e-26,0.0320943155333549,2
zn_mn,si_nd,zn_mn||si_nd,True,9.166690174329732e-11,0.0750176987134663,False,,,True,2.581722874443312e-25,0.0316440871501032,2
cr_ti,si_v,cr_ti||si_v,True,9.505001605787645e-11,0.0318551047413408,True,2.4106184810086637e-06,0.0167656620972092,False,,,2
nd_y,si_ba,nd_y||si_ba,True,1.0484895305950664e-10,0.0728229663786367,False,,,True,2.409335060794911e-33,0.0433412238399075,2
cr_na,si_nd,cr_na||si_nd,True,1.0594264935982581e-10,0.0730810332220357,False,,,True,1.4945387537266043e-41,0.0550609255174928,2
cr_y,cr_si,cr_y||cr_si,True,1.0699673601860587e-10,0.0465947291059078,False,,,True,1.2517665211246685e-27,0.0250248349842313,2
nd_y,v_zn,nd_y||v_zn,True,1.1003541465910359e-10,0.0737538764577076,False,,,True,1.7971664114289558e-32,0.0434330857871534,2
si_nd,co_si,si_nd||co_si,True,1.1275064790466053e-10,0.0713828351104524,False,,,True,2.943754817314371e-26,0.0316575964583504,2
co_y,si_nd,co_y||si_nd,True,1.1297868318237227e-10,0.0727790885588854,False,,,True,6.2132232214294815e-27,0.0338167197615245,2
si_ni,si_nd,si_ni||si_nd,True,1.1357575477485728e-10,0.0728899302276539,False,,,True,1.0946655791408608e-26,0.032596498899201,2
cr_ca,si_v,cr_ca||si_v,True,1.1724728870318975e-10,0.0338561425065461,True,7.809313111609236e-07,0.0195419685466041,False,,,2
y_mn,si_mn,y_mn||si_mn,True,1.2088738821642408e-10,0.0544742325228662,False,,,False,,,1
sc_nd,cr_sc,sc_nd||cr_sc,True,1.2197951763575954e-10,0.061439119824964,True,0.0006165947927801,0.0143750811466743,False,,,2
nd_y,nd_ba,nd_y||nd_ba,True,1.2359023326911394e-10,0.0839276973112357,False,,,True,2.9752640028160285e-39,0.0615259927428504,2
si_mn,cr_si,si_mn||cr_si,True,1.2360113862341988e-10,0.0440317764129138,False,,,False,,,1
sc_ni,si_nd,sc_ni||si_nd,True,1.2447388025661738e-10,0.0716135196672806,False,,,True,2.476748740045147e-25,0.0310083668111984,2
nd_y,k_si,nd_y||k_si,True,1.3162844275815602e-10,0.0705303571957656,False,,,True,2.541391366364442e-36,0.04810867578342,2
nd_ca,y_mn,nd_ca||y_mn,True,1.4130456692544251e-10,0.0715556122885224,False,,,True,7.284047301345398e-25,0.0307404221964297,2
sc_mn,sc_nd,sc_mn||sc_nd,True,1.5976397327891063e-10,0.0618640247275223,True,0.0004833689121711,0.0152707380765673,False,,,2
si_cu,si_nd,si_cu||si_nd,True,1.5995943987901927e-10,0.0700151991827813,False,,,True,3.043679832653867e-25,0.0306503270586966,2
v_ca,si_nd,v_ca||si_nd,True,1.6042299875192236e-10,0.0703943295768641,True,0.000191484915781,0.020444020778246,True,3.3684479194061927e-26,0.0318375152756049,3
na_v,si_nd,na_v||si_nd,True,1.6286160112866803e-10,0.0715584997845738,False,,,True,1.2082531127159006e-30,0.0382566380677434,2
ni_mn,si_nd,ni_mn||si_nd,True,1.7942101650915746e-10,0.0700598748665653,False,,,True,2.8205978651211534e-29,0.0356213035203599,2
zn_ca,nd_y,zn_ca||nd_y,True,1.8566404523127702e-10,0.0691174846724935,False,,,True,3.0330295134442245e-35,0.0457080554206743,2
cr_si,cr_sc,cr_si||cr_sc,True,1.8578663183531623e-10,0.0355895493469367,True,0.0004494504795906,0.0096259717278129,False,,,2
nd_y,k_v,nd_y||k_v,True,1.869999147004469e-10,0.0713097622880549,False,,,True,2.139926164147698e-33,0.0452278011699215,2
si_nd,cr_k,si_nd||cr_k,True,1.8898346807954082e-10,0.0696128585746646,False,,,True,1.6609228682155627e-25,0.0307042547460071,2
si_mn,cr_sc,si_mn||cr_sc,True,1.9102328587289543e-10,0.0377822717608122,False,,,False,,,1
cr_na,sc_nd,cr_na||sc_nd,True,1.924717807032572e-10,0.0619559370641072,False,,,True,3.012361442819553e-38,0.0438804328477383,2
si_v,cr_sc,si_v||cr_sc,True,1.9662011564399468e-10,0.0341651673640933,True,2.0748885382429298e-07,0.0217719390518029,False,,,2
nd_y,k_nd,nd_y||k_nd,True,1.9736458934770104e-10,0.0878413589880275,False,,,True,9.045260917223904e-32,0.0495174693154833,2
cr_zn,si_nd,cr_zn||si_nd,True,2.03337390170382e-10,0.0717118078819035,False,,,True,3.696464068519894e-25,0.0311015742491434,2
y_mn,nd_ti,y_mn||nd_ti,True,2.0786729175199214e-10,0.0660919151903473,False,,,True,5.6473525967000545e-30,0.0363849233844942,2
si_nd,sc_nd,si_nd||sc_nd,True,2.1136600171211855e-10,0.0890828417779787,False,,,True,6.504084669922155e-25,0.0378774781261538,2
sc_v,si_nd,sc_v||si_nd,True,2.1323155611939863e-10,0.0712716837181724,True,0.0001431342730252,0.0221940832798396,False,,,2
co_y,sc_nd,co_y||sc_nd,True,2.1750816827117238e-10,0.0620230020891791,False,,,False,,,1
cr_ni,si_nd,cr_ni||si_nd,True,2.2705984635010447e-10,0.0700320361443439,False,,,True,2.2662038257184597e-28,0.0348549520018904,2
y_mn,si_ni,y_mn||si_ni,True,2.429334178605824e-10,0.0481841873818429,False,,,False,,,1
nd_y,si_zn,nd_y||si_zn,True,2.4516446511500255e-10,0.0681420553439578,False,,,True,5.007170447128756e-35,0.0454688854855074,2
nd_ca,cr_y,nd_ca||cr_y,True,2.5059587373332966e-10,0.0673913138049099,False,,,True,6.513736329660409e-26,0.0308187205356217,2
y_ti,si_nd,y_ti||si_nd,True,2.7333350856132757e-10,0.0679986188341975,False,,,True,1.0333536971365474e-30,0.0381312740056208,2
nd_y,co_nd,nd_y||co_nd,True,2.781796259338803e-10,0.0875705092338599,False,,,True,2.549529528302736e-36,0.059675948614467,2
si_ni,cr_si,si_ni||cr_si,True,2.785334398544021e-10,0.035107514078114,False,,,False,,,1
si_nd,co_sc,si_nd||co_sc,True,2.987143476747013e-10,0.0695081506133197,True,0.0006398875656386,0.0170163681956962,True,1.2808683191214757e-25,0.031634007366237,3
nd_ca,si_mn,nd_ca||si_mn,True,3.0187451891449924e-10,0.0661137615336646,False,,,False,,,1
k_mn,si_nd,k_mn||si_nd,True,3.02919000593329e-10,0.0690664005843284,False,,,False,,,1
cr_ca,si_mn,cr_ca||si_mn,True,3.0390963947384456e-10,0.0360341786383629,False,,,False,,,1
mn_ca,sc_nd,mn_ca||sc_nd,True,3.0480090733520503e-10,0.0592003072986838,False,,,False,,,1
v_ti,si_nd,v_ti||si_nd,True,3.050878407747196e-10,0.0680860688049768,False,,,True,6.261322167762694e-26,0.0313454276656321,2
si_ti,sc_nd,si_ti||sc_nd,True,3.0882770171374483e-10,0.0590693067492199,False,,,False,,,1
sc_ti,si_nd,sc_ti||si_nd,True,3.1114005421291475e-10,0.0686613274459727,False,,,True,3.0942294874419167e-26,0.0319442027195688,2
cr_y,si_ni,cr_y||si_ni,True,3.1904290230913316e-10,0.0412904411794015,False,,,False,,,1
co_mn,si_nd,co_mn||si_nd,True,3.2239103680857015e-10,0.0675638567696733,False,,,True,5.448636344177742e-30,0.0365492955132267,2
si_mn,cr_ti,si_mn||cr_ti,True,3.2714276459813584e-10,0.034672798793649,False,,,False,,,1
nd_y,ba_ni,nd_y||ba_ni,True,3.4978481657860963e-10,0.067040574397409,False,,,True,2.315486095735936e-33,0.0434752714367778,2
k_cu,nd_y,k_cu||nd_y,True,3.5185061686645186e-10,0.0713866700587311,False,,,True,5.463620457804586e-34,0.0488801169891153,2
nd_y,k_zn,nd_y||k_zn,True,3.6496364940031647e-10,0.0689261971152063,False,,,True,2.0784463367786748e-33,0.0440306958496742,2
ti_mn,sc_nd,ti_mn||sc_nd,True,3.760192943765583e-10,0.0583159846993031,False,,,False,,,1
y_ti,sc_nd,y_ti||sc_nd,True,3.816374175922215e-10,0.0590205878187945,False,,,False,,,1
