ratio 1,ratio 2,key,in_g_vs_s,p_value_g_vs_s,statistic_g_vs_s,in_h_vs_s,p_value_h_vs_s,statistic_h_vs_s,in_h_vs_g,p_value_h_vs_g,statistic_h_vs_g,presence_count
v_ca,si_nd,v_ca||si_nd,True,1.6042299875192236e-10,0.0703943295768641,True,0.000191484915781,0.020444020778246,True,3.3684479194061927e-26,0.0318375152756049,3
nd_y,sc_v,nd_y||sc_v,True,1.945409867017332e-12,0.0832750291071249,True,0.0004785496517462,0.0187165065565052,True,3.048258319851427e-36,0.0473654526017609,3
v_ca,nd_na,v_ca||nd_na,True,1.9029174038250225e-08,0.0592186322180997,True,0.000513439641044,0.0210518180120384,True,4.4667658831863866e-36,0.0541095997360996,3
na_ca,sc_nd,na_ca||sc_nd,True,9.926042430429893e-09,0.0500388864604525,True,0.0001955637812179,0.0195420508313793,True,4.344230083706662e-31,0.035825402641948,3
v_ca,nd_y,v_ca||nd_y,True,6.214837645067399e-13,0.0851880694332884,True,0.0005078341291005,0.0180792995219862,True,1.9189148272425115e-38,0.0491092819536412,3
si_nd,co_sc,si_nd||co_sc,True,2.987143476747013e-10,0.0695081506133197,True,0.0006398875656386,0.0170163681956962,True,1.2808683191214757e-25,0.031634007366237,3
si_v,cr_na,si_v||cr_na,True,2.394358996409448e-09,0.0351047191625668,True,0.0002906341232501,0.0144568887780904,True,1.781410867187122e-39,0.0356657596138624,3
v_ca,na_mn,v_ca||na_mn,True,1.0779903367584297e-07,0.0299445427430332,True,0.0001812357422806,0.0173801230197754,True,2.6174252381038416e-35,0.0351871348078824,3
sc_v,nd_na,sc_v||nd_na,True,2.3103929323675536e-08,0.0594915573725982,True,0.0003799002286717,0.0227483487005883,True,2.7880297319661493e-34,0.0526619440766492,3
na_ca,nd_ca,na_ca||nd_ca,True,1.9746408458326878e-07,0.0453338642806944,True,0.000259393913546,0.0201092084156875,True,4.2599195265703635e-28,0.0346778978003919,3
nd_y,sc_na,nd_y||sc_na,True,6.117846848897926e-11,0.0735839573039098,True,0.0004299624828442,0.0202893576264437,True,2.231464221556673e-44,0.0628739174321862,3
sc_na,sc_nd,sc_na||sc_nd,True,2.6313982300889288e-08,0.0483620624666709,True,3.686536512840548e-05,0.0243458087098954,True,3.4604380298150894e-30,0.0351599667328273,3
sc_na,si_nd,sc_na||si_nd,True,3.872749683287636e-09,0.0617663135455078,True,0.00019685335503,0.022063274354763,True,6.775207150842095e-34,0.0457811044130025,3
k_na,sc_nd,k_na||sc_nd,True,9.732602260726727e-08,0.0461185475042604,True,0.0005421852565324,0.0179995498515839,True,4.535495999825929e-28,0.0346958938039498,3
co_nd,cr_si,co_nd||cr_si,True,1.1491337500558393e-07,0.0472761348542931,False,,,True,7.3631775701901e-27,0.0328426766147078,2
mn_cu,si_mn,mn_cu||si_mn,True,9.32423820614931e-08,0.0293413019226313,False,,,True,2.1212983325716385e-27,0.023093590920904,2
v_ti,si_v,v_ti||si_v,True,9.17065095969832e-08,0.0261622655478889,True,9.771959511681311e-07,0.0231665830573115,False,,,2
ti_mn,cr_na,ti_mn||cr_na,True,1.161193077040228e-07,0.0277756107712932,False,,,True,2.8126415773348905e-42,0.0386208238273165,2
na_mn,nd_zn,na_mn||nd_zn,True,9.08797107946255e-08,0.0542033116928934,False,,,True,7.16317963096385e-32,0.0436568780297122,2
sc_mn,v_y,sc_mn||v_y,True,1.192332919072011e-07,0.0362418368085503,True,0.0004440000667251,0.0144388303270104,False,,,2
cr_na,co_si,cr_na||co_si,True,9.362475191358287e-08,0.0271312537994367,False,,,True,2.9051378341358593e-40,0.0357893938617723,2
mn_cu,si_v,mn_cu||si_v,True,1.221770113593927e-07,0.0263698117009245,True,0.0001079926883266,0.014377048023878,False,,,2
nd_zn,nd_na,nd_zn||nd_na,True,1.2361181224415374e-07,0.0698845612854889,False,,,True,6.154188846432011e-31,0.0568912187571922,2
na_y,nd_na,na_y||nd_na,True,1.2504302239654114e-07,0.0547377946973519,False,,,True,1.009858729308662e-32,0.0519453843331942,2
na_mn,sc_mn,na_mn||sc_mn,True,1.2591376588368e-07,0.0336740628801671,False,,,True,2.05596630597847e-34,0.0347189746517424,2
nd_na,k_nd,nd_na||k_nd,True,1.2617005709177877e-07,0.0668105172771055,False,,,True,4.505309679334454e-31,0.0549986007269926,2
na_ca,nd_na,na_ca||nd_na,True,1.288494820967581e-07,0.0532394281552043,False,,,True,9.57852678533487e-41,0.0670413609855518,2
si_v,nd_ba,si_v||nd_ba,True,1.3042825881996137e-07,0.0414871352896865,False,,,True,1.330545405812907e-26,0.0291599980380103,2
sc_mn,cr_na,sc_mn||cr_na,True,1.304631913025636e-07,0.0314715739295807,False,,,True,4.846075511620074e-37,0.0353288949739393,2
nd_ni,cr_na,nd_ni||cr_na,True,1.3070381833565992e-07,0.0434923096664256,False,,,True,7.798156982768223e-38,0.0470528867238751,2
k_cu,sc_nd,k_cu||sc_nd,True,1.209909546849471e-07,0.047347141169305,True,0.0004976123107936,0.0184799007574093,False,,,2
cr_cu,y_mn,cr_cu||y_mn,True,1.0330519305626634e-07,0.036153324209284,False,,,True,1.0347350721667143e-27,0.0288476384778272,2
nd_na,sc_k,nd_na||sc_k,True,1.03533794804111e-07,0.0530180934965034,False,,,True,7.499369605668184e-36,0.0538228602104288,2
cr_v,nd_na,cr_v||nd_na,True,1.037787733870805e-07,0.0531173635288753,False,,,True,2.2102629530421045e-37,0.0565618002926315,2
na_ni,nd_na,na_ni||nd_na,True,1.0279760127017165e-07,0.0546457124135803,False,,,True,2.1622667152976265e-39,0.0627183158408112,2
si_mn,co_sc,si_mn||co_sc,True,1.0536163585149453e-07,0.0281100646887756,True,6.240876728861455e-05,0.0153581362836336,False,,,2
k_v,sc_nd,k_v||sc_nd,True,1.0611078201330746e-07,0.0467574920301344,True,0.0006206666179809,0.016909494491452,False,,,2
na_cu,nd_na,na_cu||nd_na,True,1.0139850478131225e-07,0.0525289315480174,False,,,True,1.1267647878166712e-36,0.055198411341117,2
nd_na,sc_si,nd_na||sc_si,True,1.1373795136894213e-07,0.0533935600282906,False,,,True,2.330700208472155e-36,0.0556283171598938,2
sc_ni,si_v,sc_ni||si_v,True,9.981209101411249e-08,0.0252962738296984,True,2.3269150719947934e-07,0.0235909003464984,False,,,2
cr_si,co_sc,cr_si||co_sc,True,1.0739014234007721e-07,0.0277777035379786,True,3.831372063879807e-05,0.015790793647416,False,,,2
nd_ba,cr_si,nd_ba||cr_si,True,9.975456500069208e-08,0.04250536421334,False,,,True,7.261294754412277e-31,0.0349402444261712,2
v_mn,nd_na,v_mn||nd_na,True,1.0946640871383387e-07,0.0525302056699003,False,,,True,1.864151150475137e-38,0.0578907311516341,2
nd_na,co_na,nd_na||co_na,True,9.964691716875297e-08,0.0538662182905812,False,,,True,3.011755841175875e-38,0.0601650130873472,2
nd_ca,co_sc,nd_ca||co_sc,True,1.0988320758461105e-07,0.0468393873189719,True,0.0003167439452721,0.0179050614809016,False,,,2
na_mn,k_nd,na_mn||k_nd,True,1.1036275788667785e-07,0.0495058074333172,False,,,True,1.8181266282102067e-30,0.0391206200598067,2
v_ni,si_v,v_ni||si_v,True,1.1107660158984933e-07,0.0239446666729285,True,8.509002975276068e-06,0.017210882598062,False,,,2
nd_ni,nd_na,nd_ni||nd_na,True,1.0727891335047197e-07,0.0675485799924954,False,,,True,5.1743999394239713e-33,0.0614514325196378,2
mn_cu,cr_y,mn_cu||cr_y,True,1.9254044862523034e-07,0.0310130091247666,False,,,True,2.9550016146362753e-31,0.0299595169942146,2
